Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
Consumer Internet,Online Salon discovery & Booking Services,New Delhi,Seed Funding,"6,20,000",6.2
Consumer Internet,Lending platform for small businesses,Ahmedabad,Private Equity,"46,50,000",46.5
Technology,Cyber Security solutions using AI,New Delhi,Private Equity,"20,00,000",20
Technology,Markerless AR platform,Bangalore,Private Equity,"6,00,000",6
Technology,Virtual Reality Startup,Bangalore,Private Equity,"12,50,000",12.5
Technology,IoT Platform for Bus,New Delhi,Seed Funding,"1,55,000",1.55
Consumer Internet,Online Food Delivery,Mumbai,Private Equity,"30,00,000",30
Consumer Internet,Video Based Collaborative Learning,Bangalore,Seed Funding,"10,00,000",10
Food & Beverages,QSR chain and online food delivery,Pune,Private Equity,"63,00,000",63
Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,Private Equity,"25,00,00,000",2500
Consumer Internet,Learning mobile app for students,Mumbai,Private Equity,"32,00,000",32
Consumer Internet,CoWorking Spaces booking platform,Gurgaon,Seed Funding,"2,45,000",2.45
Consumer Internet,Mobile Services Marketplace,Gurgaon,Private Equity,"31,00,000",31
Consumer Internet,Collaborative co-Working Spaces,Mumbai,Private Equity,"2,00,00,000",200
Technology,Customer data analytics software,Mumbai,Private Equity,"1,10,00,000",110
Consumer Internet,Public and Private Events creation app,Chennai,Seed Funding,"15,00,000",15
E-Commerce,Online fashion marketplace,New Delhi,Private Equity,"10,00,000",10
Consumer Internet,On-Demand Food Delivery,Mumbai,Private Equity,"36,00,000",36
Consumer Internet,Online Educational courses,Bangalore,Private Equity,"15,00,000",15
Consumer Internet,Health and wellness related content platform,New Delhi,Seed Funding,"7,50,000",7.5
Consumer Internet,App based cab aggregator,Bangalore,Private Equity,"33,00,00,000",3300
Consumer Internet,Online Jon Portal,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,Women Health and wellness & Information portal,Hyderabad,Private Equity,"15,00,000",15
Technology,Packaging Artwork Management software,Chennai,Seed Funding,"5,00,000",5
Consumer Internet,Micro Lending platform,Gurgaon,Private Equity,"25,00,000",25
Consumer Internet,Online Credit score & lending platform,Chennai,Private Equity,"76,00,000",76
Technology,Employee Onboarding and Engagement platform,Bangalore,Seed Funding,"2,75,000",2.75
Technology,E-Commerce Mobile App Builder,Ahmedabad,Private Equity,"67,00,000",67
E-Commerce,E-Commerce Marketplace,Bangalore,Private Equity,"20,00,00,000",2000
Health and wellness,Health Diagnostic Solutions,Mumbai,Private Equity,"1,95,00,000",195
Consumer Internet,Online Counseling Platform,Mumbai,Seed Funding,"12,00,000",12
Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,Seed Funding,"1,50,000",1.5
Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,Private Equity,"17,90,000",17.9
Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Private Equity,"1,00,00,000",100
Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Private Equity,"1,00,00,000",100
Technology,Cyber Security Solutions,Noida,Private Equity,"10,00,000",10
Consumer Internet,Online Vehicle Services Booking platform,New Delhi,Seed Funding,"30,000",0.3
Consumer Internet,Intra-City Logistics provider,Bangalore,Private Equity,"36,50,000",36.5
Logistics,Technology Enabled Logistics Company,Gurgaon,Private Equity,"1,50,00,000",150
Technology,Intelligent Sales Prospecting Platform,Chennai,Seed Funding,"11,00,000",11
Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Seed Funding,"1,20,000",1.2
Consumer Internet,Instant Mobile Apps Store,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Online Real Estate Portal,Mumbai,Private Equity,"45,00,000",45
Health and wellness,Female Hygiene product manufacturer,New Delhi,Seed Funding,"4,43,000",4.43
Technology,SDN Solutions,Bangalore,Seed Funding,"6,00,000",6
E-Commerce,Technology Accessories e-tailer,Hyderabad,Private Equity,"33,50,000",33.5
Consumer Internet,On-demand home services provider,Kolkata,Seed Funding,"1,00,000",1
Consumer Internet,Loyalty rewards app,Mumbai,Private Equity,"13,50,000",13.5
Consumer Internet,Media publication for women,New Delhi,Private Equity,"31,00,000",31
Consumer Internet,Fitness Mobile App,Gurgaon,Seed Funding,"2,00,000",2
E-Commerce,E-Commerce Marketplace,Bangalore,Private Equity,"1,40,00,00,000",14000
Technology,Online payment Gateway,Mumbai,Private Equity,"36,70,000",36.7
Consumer Internet,On-Demand Beauty Services,Mumbai,Private Equity,"53,00,000",53
Consumer Internet,Technology-Enabled Social Enterprise,Bangalore,Seed Funding,"1,91,000",1.91
Consumer Internet,Online Travel Search Engine,Gurgaon,Private Equity,"1,50,00,000",150
Technology,Marketing Research Company,Pune,Private Equity,"5,60,00,000",560
Technology,supply chain automation platform,Bangalore,Seed Funding,"3,82,000",3.82
Technology,Technology enabled Fulfilment & Logistics Solutions,New Delhi,Private Equity,"10,00,00,000",1000
E-Commerce,Online fashion marketplace,Mumbai,Private Equity,"5,00,000",5
Consumer Internet,On-demand Personal Assistant service,Gurgaon,Private Equity,"3,00,000",3
Consumer Internet,Vacation Trip Planning platform,Mumbai,Seed Funding,"3,25,000",3.25
E-Commerce,Self-Checkout E-Commerce App,Bangalore,Seed Funding,"6,50,000",6.5
E-Commerce,Online Meat Ordering platform,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,Doctor & Hospital search Platform,Bangalore,Seed Funding,"50,000",0.5
Consumer Internet,Offline Business Aggregator App,Mumbai,Seed Funding,"1,55,000",1.55
Technology,Turnkey Solar Solutions,Mumbai,Private Equity,"30,00,000",30
E-Commerce,Online Grocer,Bangalore,Private Equity,"70,00,000",70
Technology,ERP solutions provider,Pune,Private Equity,"2,50,00,000",250
Consumer Internet,Online lending platform,Bangalore,Private Equity,"25,00,000",25
Consumer Internet,Online Counselling Platform,Mumbai,Seed Funding,"4,50,000",4.5
Consumer Internet,Online travel agent marketplace,Noida,Private Equity,"1,00,00,000",100
Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Seed Funding,"10,00,000",10
Technology,IoT Based Energy Monitoring & Control,Gurgaon,Private Equity,"12,00,000",12
Consumer Internet,Automobile Classifieds Portal,Mumbai,Private Equity,"5,50,00,000",550
Consumer Internet,Online Education Portal,Gurgaon,Seed Funding,"40,000",0.4
E-Commerce,Women Apparel & Lifestyle etailer,Bangalore,Private Equity,"60,00,000",60
E-Commerce,Women Fashion Portal,Bangalore,Private Equity,"80,00,000",80
E-Commerce,Online Food Delivery Platform,Bangalore,Private Equity,"5,00,000",5
Technology,Medical Automation platform,Bangalore,Private Equity,"58,00,000",58
Technology,Decision Sciences Analytics Solutions,Bangalore,Private Equity,"75,00,000",75
Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Private Equity,"32,00,000",32
Consumer Internet,Mortgage Offering Platform,Gurgaon,Private Equity,"1,50,00,000",150
Consumer Internet,Parenting Mobile App,New Delhi,Seed Funding,"3,30,000",3.3
Technology,Expense Management Solution,Bangalore,Seed Funding,"4,00,000",4
Consumer Internet,Online Bike & Car Services provider,Chennai,Seed Funding,"3,00,000",3
Consumer Internet,Online Payment Gateway,Mumbai,Private Equity,"2,24,00,000",224
Consumer Internet,Online Consumer Lending platform,Bangalore,Private Equity,"65,00,000",65
Technology,Drone operations management platform,Missourie,Seed Funding,"3,50,000",3.5
Consumer Internet,Online Marketplace for Used Cars,Mumbai,Private Equity,"30,00,000",30
Consumer Internet,Online Media,Bangalore,Private Equity,"30,00,000",30
Technology,AR & VR platform,Hyderabad,Seed Funding,"5,00,000",5
Consumer Internet,Online Media Platform,Bangalore,Seed Funding,"4,00,000",4
E-Commerce,Online Furniture Store,Bangalore,Private Equity,"1,52,00,000",152
E-Commerce,Solution provider for pet needs,Mumbai,Seed Funding,"40,000",0.4
Consumer Internet,First Aid care app,Gurgaon,Seed Funding,"40,000",0.4
E-Commerce,Online Marketplace,Bangalore,Private Equity,"3,87,00,000",387
Consumer Internet,Mobile balance Checking App,Gurgaon,Private Equity,"1,50,00,000",150
Consumer Internet,Photo Sharing for Groups,Bangalore,Seed Funding,"40,000",0.4
Consumer Internet,Smart Parking Platform,New Delhi,Private Equity,"11,00,000",11
Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,Seed Funding,"3,75,000",3.75
E-Commerce,Online Jewellery etailer,Bangalore,Seed Funding,"94,000",0.94
Consumer Internet,Live Online Coaching Classes,New Delhi,Private Equity,"10,00,000",10
Logistics,Online freight aggregator,Bangalore,Private Equity,"7,00,00,000",700
Consumer Internet,Online Tax Filing platform,Pune,Seed Funding,"3,66,000",3.66
Technology,IoT & SaaS Solutions for Transport Industry,Panaji,Seed Funding,"8,25,000",8.25
Logistics,Supply Chain Solutions Provider,Mumbai,Private Equity,"1,30,00,000",130
Consumer Internet,Mobile Wallet,Mumbai,Private Equity,"5,70,00,000",570
Consumer Internet,Movie Ticket Booking platform,Chennai,Private Equity,"3,50,00,000",350
Technology,SaaS Based Retail Analytics Solutions,Mumbai,Private Equity,"8,00,000",8
Technology,e-surveillance services provider,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,Private Equity,"22,50,000",22.5
Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,Seed Funding,"1,00,000",1
E-Commerce,Online eyewear retailer,Bangalore,Private Equity,"35,00,000",35
Consumer Internet,Real-time Mobile App Management Platform,Bangalore,Private Equity,"13,50,000",13.5
Consumer Internet,Property Search Aggregator platform,Gurgaon,Private Equity,"1,00,00,000",100
Technology,IoT smart Logistics and Asset Management Company,Mumbai,Private Equity,"41,00,000",41
Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,Seed Funding,"4,40,000",4.4
Consumer Internet,Online learning platform,Bangalore,Private Equity,"45,00,000",45
Consumer Internet,Branded PG Accomodation booking platform,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,Custom & Modular Furniture platform,Mumbai,Seed Funding,"7,00,000",7
Consumer Internet,Online Learning Platform,Bangalore,Private Equity,"8,00,000",8
Consumer Internet,Parenting Info & Social Network,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,Online Health and wellness platform,Bangalore,Private Equity,"5,50,00,000",550
Consumer Internet,Food Discovery Platform,New Delhi,Seed Funding,"4,41,000",4.41
Consumer Internet,Online Car Service Platform,Gwalior,Seed Funding,"5,00,000",5
Consumer Internet,Logistics and truck aggregator platform,Bangalore,Seed Funding,"1,47,000",1.47
E-Commerce,Online Tea etailer,New Delhi,Seed Funding,"6,50,000",6.5
Technology,Cloud-based construction,Bangalore,Seed Funding,"3,00,000",3
Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,social messaging platform,New Delhi,Seed Funding,"50,000",0.5
Technology,Maths Learning program,New Delhi,Private Equity,"1,50,00,000",150
Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Private Equity,"5,00,000",5
Consumer Internet,Platform to take businesses online,Hyderabad,Private Equity,"1,00,00,000",100
Consumer Internet,Online transport vehicle booking platform,Bangalore,Private Equity,"40,00,000",40
Technology,Agri Decision Support Solution for farmers,Pune,Private Equity,"40,00,000",40
Technology,Security-as-a-Service solution provider,Bangalore,Private Equity,"22,00,000",22
E-Commerce,E-Commerce Marketplace,Ahmedabad,Private Equity,"88,00,000",88
Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Private Equity,"14,00,000",14
Consumer Internet,Hyper-local Handyman Service provider,Chennai,Seed Funding,"3,00,000",3
Technology,IoT solutions for home automation applications,Mumbai,Seed Funding,"1,06,000",1.06
Technology,Cloud based Virtual Servers,New Delhi,Seed Funding,"22,500",0.225
E-Commerce,Used Furniture Marketplace,Mumbai,Seed Funding,"68,000",0.68
Consumer Internet,Smart Online address tags,Bangalore,Seed Funding,"18,000",0.18
E-Commerce,Online Pet Products Store,New Delhi,Private Equity,"20,00,000",20
Technology,Health and wellness Software System,Noida,Private Equity,"12,00,000",12
Consumer Internet,Online Instant personal Loan provider,New Delhi,Private Equity,"40,00,000",40
Consumer Internet,Lock screen Rewards mobile app,New Delhi,Private Equity,"36,00,000",36
Consumer Internet,Entry-Level job Seekers platform,New Delhi,Seed Funding,"1,00,000",1
Technology,Transport and logistics mobile App,Mumbai,Private Equity,"30,00,000",30
E-Commerce,Online Grocery Store,Bangalore,Private Equity,"14,00,000",14
Consumer Internet,Mobile Contacts Management app,New Delhi,Seed Funding,"1,47,000",1.47
Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Private Equity,"90,00,000",90
Consumer Internet,Online Investment Advisory platform,Bangalore,Seed Funding,"4,40,000",4.4
Consumer Internet,Online Consumer Lending platform,Mumbai,Private Equity,"65,00,000",65
Consumer Internet,Online Car servicing Booking platform,Gurgaon,Seed Funding,"2,50,000",2.5
E-Commerce,Fashion Apparel eTailer,New Delhi,Private Equity,"60,00,000",60
Technology,Content Management & Productivity platform,Bangalore,Seed Funding,"4,50,000",4.5
Technology,Health-Technology platform,Jaipur,Seed Funding,"2,50,000",2.5
Technology,Education & learning Technology platform,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,P2P Lending platform,New Delhi,Seed Funding,"2,00,000",2
Consumer Internet,Online Doctor Consulting platform,Gurgaon,Private Equity,"20,00,000",20
Food & Beverages,Cold Press Juice manufacturer & seller,New Delhi,Seed Funding,"20,00,000",20
Consumer Internet,Online lending platform,Gurgaon,Private Equity,"1,00,00,000",100
E-Commerce,Online business-to-business (B2B) marketplace,Gurgaon,Private Equity,"1,11,00,000",111
Consumer Internet,Hotel Booking platform,Gurgaon,Seed Funding,"1,50,000",1.5
Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,Online Share & Commodity Broking platform,Indore,Seed Funding,"2,97,000",2.97
Consumer Internet,Financial Services For Unorganized Workforce,Pune,Seed Funding,"1,00,000",1
Technology,Drone Manufacturing,Mumbai,Private Equity,"1,00,00,000",100
Technology,Media Technology Solutions,Mumbai,Private Equity,"3,50,00,000",350
Technology,Digital Entertainment Company,Mumbai,Private Equity,"30,00,000",30
Technology,Cloud Data Center Solutions provider,Hyderabad,Private Equity,"2,30,00,000",230
Consumer Internet,Holiday Packages provider,New Delhi,Seed Funding,"1,23,000",1.23
Consumer Internet,Rental property search portal,Bangalore,Private Equity,"74,00,000",74
E-Commerce,Online jewellery marketplace,Mumbai,Seed Funding,"50,000",0.5
Consumer Internet,Online Learning platform,Bangalore,Private Equity,"1,50,00,000",150
Consumer Internet,online to offline marketing platform,Bangalore,Seed Funding,"5,00,000",5
E-Commerce,Online Vegetable eTailer,Chennai,Seed Funding,"1,62,000",1.62
Consumer Internet,Career Planning & Assessment platform,New Delhi,Seed Funding,"3,24,000",3.24
E-Commerce,Personal care product etailer,Bangalore,Seed Funding,"3,00,000",3
Technology,Cloud based CRM for Agencies,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,Video Streaming platform,Mumbai,Seed Funding,"12,00,000",12
Logistics,On-Demand Delivery Service,Gurgaon,Private Equity,"1,00,00,000",100
E-Commerce,SaaS E-Commerce Retail app,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,Fitness Mobile App,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,Seed Funding,"2,00,000",2
Consumer Internet,SaaS Based HelpDesk Services,Chennai,Private Equity,"5,50,00,000",550
Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Seed Funding,"1,50,000",1.5
Technology,SaaS-based web optimisation and marketing platform,Chennai,Private Equity,"60,00,000",60
Consumer Internet,Online insurance Portal,Noida,Private Equity,"1,00,00,000",100
Logistics,Last mile Delivery Network,Bangalore,Private Equity,"10,00,000",10
Technology,AI-based Software as a Service Solution provider,New Delhi,Seed Funding,"1,50,000",1.5
E-Commerce,Online ordering & Delivery of medicines,New Delhi,Seed Funding,"45,000",0.45
E-Commerce,Packaging Material Marketplace,Mumbai,Private Equity,"30,00,000",30
Technology,Technology based Logistics platform,Gurgaon,Private Equity,"7,50,00,000",750
Consumer Internet,Online Car Sharing platform,Mumbai,Private Equity,"30,00,000",30
Consumer Internet,Online Job Portal,New Delhi,Private Equity,"20,00,000",20
Consumer Internet,Online Property Search Portal,Gurgaon,Private Equity,"1,20,00,000",120
Consumer Internet,Golf Session Online Bookings platform,New Delhi,Private Equity,"10,00,000",10
Technology,Banking & Finance Platform,Singapore,Private Equity,"30,00,000",30
Technology,Technology driven Logistic & distribution platform,Pune,Private Equity,"20,00,000",20
E-Commerce,Used Furniture & Appliances Marketplace,Bangalore,Private Equity,"60,00,000",60
Technology,Mobile Gaming portal,Bangalore,Private Equity,"40,00,000",40
Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,Private Equity,"50,00,000",50
E-Commerce,Fashion eTailer,New Delhi,Private Equity,"1,35,00,000",135
Consumer Internet,Product Photography Mobile App,Mumbai,Seed Funding,"1,47,000",1.47
Finance,Insurance Marketplace for the Rural Sector,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Seed Funding,"90,000",0.9
Technology,Cash Flow Management Solution for Businesses,Gurgaon,Seed Funding,"6,50,000",6.5
Consumer Internet,Real Estate Portal,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Short News Mobile App,Bangalore,Seed Funding,"1,47,000",1.47
Technology,SaaS-based predictive analytics platform,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,App based networking platform,Mumbai,Seed Funding,"1,47,000",1.47
Consumer Internet,Cloud Telephony Platform,Bangalore,Private Equity,"2,00,00,000",200
Technology,Bot Protection Solutions,Mumbai,Seed Funding,"6,00,000",6
E-Commerce,B2B Marketplace,Bangalore,Private Equity,"1,00,00,000",100
Consumer Internet,Local Language Social Networking Platform,Mumbai,Private Equity,"40,00,000",40
Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Seed Funding,"1,00,000",1
E-Commerce,B2B Wholesale Apparel Marketplace,Jaipur,Private Equity,"20,00,000",20
Consumer Internet,Savings platform for Medical Expenses,New Delhi,Private Equity,"30,00,000",30
Consumer Internet,Mobile App for SaaS based Training,Goa,Private Equity,"10,00,000",10
E-Commerce,Hyperlocal Shopping App,Bangalore,Seed Funding,"9,63,000",9.63
E-Commerce,Ethnic Indian Fashion Marketplace,Bangalore,Seed Funding,"1,50,000",1.5
Technology,"AI, Machine learning Solutions",Bangalore,Seed Funding,"2,00,000",2
Technology,AI-driven B2B marketing platform,Bangalore,Private Equity,"20,00,000",20
Food & Beverages,Quick Service Restaurants,Noida,Seed Funding,"2,18,000",2.18
Technology,Engineering Interview facilitation platform,Pune,Seed Funding,"1,00,000",1
Consumer Internet,Online Math Learn,Vadodara,Seed Funding,"4,40,000",4.4
Consumer Internet,Campus Social Networking App,Bangalore,Private Equity,"5,00,000",5
Consumer Internet,Online Car repair Marketplace,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Airline Ticket Aggregator,Bangalore,Private Equity,"50,00,000",50
Technology,Speech Recognition Solutions,Chennai,Private Equity,"20,00,000",20
E-Commerce,Art & Craft Marketplace,Gurgaon,Seed Funding,"2,00,000",2
E-Commerce,Online Gifting platform,Bangalore,Private Equity,"4,50,000",4.5
E-Commerce,Online Gifting platform,Noida,Private Equity,"20,00,000",20
E-Commerce,Industrial & Home products marketplace,Noida,Private Equity,"42,00,000",42
Consumer Internet,Internet Service Provider,Hyderabad,Private Equity,"30,00,000",30
Consumer Internet,Foreign Currency Payments Platform,Mumbai,Seed Funding,"10,00,000",10
Consumer Internet,Online food ordering platform,Gurgaon,Private Equity,"25,00,000",25
Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,Private Equity,"37,50,000",37.5
Technology,Mobile Health Technology Solutions,Mumbai,Private Equity,"12,00,000",12
Technology,Data Sciences Platform,Noida,Seed Funding,"3,00,000",3
E-Commerce,Used Furniture & Appliances Marketplace,Bangalore,Private Equity,"10,50,000",10.5
Technology,Baby Monitoring Devices manufacturer,Bangalore,Seed Funding,"1,00,000",1
Technology,Sports Training & Technology,Mumbai,Private Equity,"22,00,000",22
Consumer Internet,Online Funds Raising Platform,Mumbai,Private Equity,"1,50,00,000",150
E-Commerce,Online Hair Extension etailer,New Delhi,Seed Funding,"3,75,000",3.75
Consumer Internet,Internet-based TV streaming service provider,Bangalore,Private Equity,"5,00,00,000",500
Consumer Internet,Branded Camping location Aggregator,Gurgaon,Seed Funding,"5,00,000",5
E-Commerce,online fashion brand store,Noida,Private Equity,"20,00,000",20
Technology,waterless car washing solution,Ahmedabad,Seed Funding,"4,50,000",4.5
Consumer Internet,Online News portal,New Delhi,Seed Funding,"25,000",0.25
Consumer Internet,API Platform,Bangalore,Private Equity,"70,00,000",70
Finance,Education Sector Lending,Hyderabad,Private Equity,"60,00,000",60
Consumer Internet,Vernacular content mobile app,Bangalore,Private Equity,"2,50,00,000",250
Consumer Internet,Motorbike rental platform,Hyderabad,Seed Funding,"2,27,000",2.27
Consumer Internet,Internet & Fresher Job platform,Mumbai,Seed Funding,"10,00,000",10
Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Seed Funding,"3,00,000",3
Others,equipment rental and leasing company,Mumbai,Private Equity,"1,60,00,000",160
Technology,3D Printing Solutions for Edu space,New Delhi,Seed Funding,"1,50,000",1.5
Technology,Solar Energy harnessing products marketplace,Noida,Private Equity,"25,00,000",25
Consumer Internet,Online Furniture Rental platform,Bangalore,Private Equity,"3,00,00,000",300
Consumer Internet,Personal Wealth Management Platform & App,Bangalore,Private Equity,"11,00,000",11
Technology,Wearable Technology platform & devices,Mumbai,Private Equity,"7,50,000",7.5
Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Seed Funding,"3,00,000",3
Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,Private Equity,"30,00,000",30
Consumer Internet,Online Food Ordering platform/App,Mumbai,Private Equity,"75,00,000",75
E-Commerce,Invoice discounting marketplace,Bangalore,Private Equity,"60,00,000",60
Consumer Internet,Credit Report Info platform,Mumbai,Seed Funding,"5,00,000",5
Technology,Android utility app suite creator,Gurgaon,Seed Funding,"1,00,000",1
Consumer Internet,Media Marketing platform,New Delhi,Seed Funding,"10,00,000",10
E-Commerce,Online Tea Etailer,Ahmedabad,Private Equity,"10,00,000",10
Consumer Internet,Doctor Consulting platform,Bangalore,Private Equity,"7,00,000",7
Technology,Truck Fleet Operation platform,Chennai,Private Equity,"9,71,000",9.71
Technology,Electric Vehicle Manufacturer,Bangalore,Private Equity,"2,70,00,000",270
Technology,LiFi based wireless communication provider,New Delhi,Seed Funding,"1,00,000",1
Technology,Electric Bike Manufacturer,Chennai,Seed Funding,"1,00,000",1
Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Seed Funding,"1,00,000",1
Technology,Business intelligence and data science Startup,Bangalore,Private Equity,"7,50,000",7.5
Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Seed Funding,"10,00,000",10
Technology,Personal Digital Assistant,Kolkata,Private Equity,"67,00,000",67
E-Commerce,Women\xe2\x80\x99s Fashion Apparel eTailer,Chennai,Private Equity,"13,50,000",13.5
Consumer Internet,Online Gift Vouchers platform,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Private Equity,"9,00,000",9
E-Commerce,Online Fashion Retailer,Bangalore/ Bangkok,Private Equity,"80,00,000",80
Consumer Internet,Online Doctor Consulting platform,New Delhi,Seed Funding,"5,00,000",5
Education,Online Certification programs,Bangalore,Private Equity,"60,00,000",60
E-Commerce,Study Material Marketplace,Gurgaon,Seed Funding,"3,15,000",3.15
Education,Online Test Preparation platform,Bangalore,Seed Funding,"6,70,000",6.7
E-Commerce,Online Construction Materials Marketplace,Bangalore,Seed Funding,"2,00,000",2
Education,Online Learning App,Bangalore,Private Equity,"5,00,00,000",500
Consumer Internet,Social Health Networking Platform,New Delhi,Seed Funding,"1,50,000",1.5
Consumer Internet,Online health & Wellness platform,Noida,Seed Funding,"4,50,000",4.5
Consumer Internet,Personal Styling Online platform,Mumbai,Seed Funding,"4,48,000",4.48
Technology,Online Advertising Solutions,Pune,Private Equity,"30,00,000",30
E-Commerce,Online Beauty products eTailer,Mumbai,Private Equity,"1,23,00,000",123
Consumer Internet,Beauty Salon Aggregator,Noida,Seed Funding,"3,00,000",3
Consumer Internet,Online Deals & Discount platform,Gurgaon,Private Equity,"25,00,000",25
Consumer Internet,Jobs & Skill Validation platform,Bangalore,Seed Funding,"1,50,000",1.5
Consumer Internet,Employee engagement platform,Gurgaon,Seed Funding,"2,00,000",2
E-Commerce,Online furniture rental startup,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,on-demand logistics service provider,Bangalore,Private Equity,"15,00,000",15
Consumer Internet,City based News Aggregator App,Hyderabad,Seed Funding,"1,00,000",1
Consumer Internet,Online Doctor Consultations,Gurgaon,Private Equity,"10,00,000",10
Consumer Internet,Couple Socialization App,Bangalore,Seed Funding,"7,50,000",7.5
Consumer Internet,Online Food Ordering & Delivery,Bangalore,Private Equity,"1,50,00,000",150
E-Commerce,Online gadget Repair Services Marketplace,Hyderabad,Seed Funding,"5,00,000",5
Consumer Internet,shared living and working spaces platform,Bangalore,Seed Funding,"10,00,000",10
E-Commerce,Furniture eTailer,Mumbai,Private Equity,"3,13,00,000",313
E-Commerce,Online Book etailer,Ahmedabad,Seed Funding,"2,98,000",2.98
Consumer Internet,Mobile-based social networking platform,New Delhi,Seed Funding,"3,50,000",3.5
Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Private Equity,"60,00,000",60
Technology,Mobile Game Publisher for Indian audience,Bangalore,Seed Funding,"4,25,000",4.25
Technology,Mobile App Development company,Bangalore,Seed Funding,"10,00,000",10
Technology,SaaS application for Pharma Industry,Pune,Private Equity,"7,45,000",7.45
Technology,CRM SaaS Platform,Chennai,Private Equity,"60,00,000",60
Consumer Internet,Parenting Network Platform,Bangalore,Private Equity,"15,80,000",15.8
E-Commerce,Mens Grooming products etailer,Ahmedabad,Seed Funding,"5,00,000",5
Consumer Internet,Out-Station Taxi Rental Platform,Indore,Seed Funding,"10,00,000",10
Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Seed Funding,"10,00,000",10
Technology,Cloud Based Data Protection Solution,Pune,Private Equity,"5,10,00,000",510
E-Commerce,Local Commerce Platform,New Delhi,Seed Funding,"1,80,000",1.8
Consumer Internet,Bitcoin Wallet,Bangalore,Private Equity,"15,00,000",15
Technology,Enterprise Cloud Solutions,Mumbai,Private Equity,"1,90,00,000",190
E-Commerce,Online Pharmacy & Health Marketplace,Gurgaon,Private Equity,"1,20,00,000",120
Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,Seed Funding,"2,00,000",2
Consumer Internet,Gadget Repair Services Platform,Pune,Seed Funding,"2,75,000",2.75
E-Commerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Private Equity,"25,00,000",25
Consumer Internet,Online Job and Career Platform for Women,Noida,Private Equity,"18,00,000",18
Food & Beverages,Retail Food & Snack Offline centres,Mumbai,Seed Funding,"10,00,000",10
Consumer Internet,Waste Recycle Management platform,Gurgaon,Seed Funding,"2,25,000",2.25
Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Seed Funding,"8,90,000",8.9
Consumer Internet,Food Delivery Platform,Bangalore,Seed Funding,"5,00,000",5
Technology,Travel Ticket Booking Software,Kerala,Seed Funding,"27,000",0.27
Others,Indoor Skydiving Sports Provider,Mumbai,Seed Funding,"40,000",0.4
